Data,Period,Organisation unit,Value
xm6LbvmURdm.REPORTING_RATE,201609,W6sNfkJcXGC,100.0
Q21U47uf0xo.REPORTING_RATE,201610,rO2RVJWHpCe,3.4
xm6LbvmURdm.REPORTING_RATE,201609,qpS6qE71yKR,100.0
xm6LbvmURdm.REPORTING_RATE,201608,qpS6qE71yKR,100.0
xm6LbvmURdm.REPORTING_RATE,201608,YvLOmtTQD6b,111.9
Fpl26CKBEqZ.REPORTING_RATE,201609,hdeC7uX9Cko,100.0
xm6LbvmURdm.REPORTING_RATE,201609,YvLOmtTQD6b,107.0
Q21U47uf0xo.REPORTING_RATE,201610,VWGSudnonm5,1.8
xm6LbvmURdm.REPORTING_RATE,201608,rO2RVJWHpCe,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,qpS6qE71yKR,100.0
Q21U47uf0xo.REPORTING_RATE,201608,TOgZ99Jv0bN,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,W6sNfkJcXGC,94.1
eDXUmwx0yw8.REPORTING_RATE,201609,W6sNfkJcXGC,82.4
Q21U47uf0xo.REPORTING_RATE,201608,XKGgynPS1WZ,97.8
Q21U47uf0xo.REPORTING_RATE,201609,RdNV4tTRNEo,100.0
Q21U47uf0xo.REPORTING_RATE,201608,sv6c7CpPcrc,100.0
Q21U47uf0xo.REPORTING_RATE,201609,sv6c7CpPcrc,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,rO2RVJWHpCe,101.8
xm6LbvmURdm.REPORTING_RATE,201608,W6sNfkJcXGC,96.2
xm6LbvmURdm.REPORTING_RATE,201609,rO2RVJWHpCe,101.8
eDXUmwx0yw8.REPORTING_RATE,201608,YvLOmtTQD6b,111.9
Q21U47uf0xo.REPORTING_RATE,201609,XKGgynPS1WZ,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,YvLOmtTQD6b,107.0
xm6LbvmURdm.REPORTING_RATE,201608,qJzrmj5CTmC,100.0
Q21U47uf0xo.REPORTING_RATE,201609,TOgZ99Jv0bN,94.4
eDXUmwx0yw8.REPORTING_RATE,201609,RdNV4tTRNEo,100.0
Fpl26CKBEqZ.REPORTING_RATE,201608,hdeC7uX9Cko,100.0
eDXUmwx0yw8.REPORTING_RATE,201609,VWGSudnonm5,100.0
eDXUmwx0yw8.REPORTING_RATE,201608,RdNV4tTRNEo,100.0
